response_set_id,parent_response_set_id,date_time,page,user,branch,desk,library,Contact Type,Contact Type (text),Question Type,Question Type (text),Time Spent in minutes,Comment,Reference   Research Type,Reference   Research Type (text),Reference   Research Type 2,Reference   Research Type 2 (text),Reference   Research Type 3,Reference   Research Type 3 (text)
"111026","","2019-01-18 14:45:11","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Collab email","","Reference / Research Assistance","","","","Software help","","Statistics","","",""
"111112","","2019-01-22 09:03:29","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","","","Software help","","Spatial","","",""
"111120","","2019-01-22 09:36:50","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Personal Email","","Reference / Research Assistance","","10","books!","Spatial","","","","",""
"111121","","2019-01-22 09:38:31","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","",""
"111305","","2019-01-22 13:20:00","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","",""
"111304","","2019-01-22 13:20:00","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","",""
"111303","","2019-01-22 13:20:00","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","",""
"111302","","2019-01-22 14:27:00","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","","","Content","","","","",""
"111263","","2019-01-23 09:27:21","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Collab email","","Reference / Research Assistance","","","","","","","","",""
"111370","","2019-01-23 18:24:59","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","",""
"111371","","2019-01-23 18:33:01","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","",""
"111372","","2019-01-23 18:36:54","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","",""
"111697","","2019-01-24 12:48:08","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Directional / Informational","","","","","","","","",""
"111728","","2019-01-24 16:08:40","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Other","","Reference / Research Assistance","","","","Spatial","","","","",""
"111729","","2019-01-24 16:16:04","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","In Person","","Reference / Research Assistance","","","","Other","","","","",""
"111731","","2019-01-24 16:36:43","Interdisciplinary Researc","RefBuddy","Interdisciplinary Research Collaboratory","Interdisciplinary Research Collaboratory Desk","University of California, Santa Barbara","Collab email","","Reference / Research Assistance","","","","Spatial","","","","",""
